Back to Contents,Data 1: U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels per Day)
Sourcekey,MGFUPUS2
Date,U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels per Day)
Mar-2009,8903
Apr-2009,9029
May-2009,9084
Jun-2009,9180
Jul-2009,9260
Aug-2009,9295
Sep-2009,8911
Oct-2009,8986
Nov-2009,8906
Dec-2009,8931
Jan-2010,8520
Feb-2010,8579
Mar-2010,8793
Apr-2010,9108
May-2010,9162
Jun-2010,9311
Jul-2010,9301
Aug-2010,9255
Sep-2010,9112
Oct-2010,9016
Nov-2010,8816
Dec-2010,8911
Jan-2011,8370
Feb-2011,8604
Mar-2011,8799
Apr-2011,8796
May-2011,8817
Jun-2011,9067
Jul-2011,9031
Aug-2011,8925
Sep-2011,8744
Oct-2011,8649
Nov-2011,8537
Dec-2011,8683
Jan-2012,8190
Feb-2012,8598
Mar-2012,8582
Apr-2012,8741
May-2012,8979
Jun-2012,8996
Jul-2012,8810
Aug-2012,9154
Sep-2012,8561
Oct-2012,8701
Nov-2012,8483
Dec-2012,8389
Jan-2013,8331
Feb-2013,8395
Mar-2013,8641
Apr-2013,8855
May-2013,9033
Jun-2013,9078
Jul-2013,9146
Aug-2013,9124
Sep-2013,8946
Oct-2013,8944
Nov-2013,8923
Dec-2013,8670
Jan-2014,8273
Feb-2014,8647
Mar-2014,8697
Apr-2014,8955
May-2014,9023
Jun-2014,9039
Jul-2014,9249
Aug-2014,9311
Sep-2014,8822
Oct-2014,9148
Nov-2014,8921
Dec-2014,8941
Jan-2015,8639
Feb-2015,8829
Mar-2015,9057
Apr-2015,9189
May-2015,9262
Jun-2015,9417
Jul-2015,9470
Aug-2015,9460
Sep-2015,9289
Oct-2015,9245
Nov-2015,9112
Dec-2015,9148
Jan-2016,8653
Feb-2016,9221
Mar-2016,9373
Apr-2016,9176
May-2016,9417
Jun-2016,9608
Jul-2016,9578
Aug-2016,9687
Sep-2016,9484
Oct-2016,9093
Nov-2016,9233
Dec-2016,9283
Jan-2017,8507
Feb-2017,9008
Mar-2017,9325
Apr-2017,9295
May-2017,9550
Jun-2017,9772
Jul-2017,9595
Aug-2017,9752
Sep-2017,9378
Oct-2017,9357
Nov-2017,9110
Dec-2017,9247
Jan-2018,8788
Feb-2018,8796
Mar-2018,9465
Apr-2018,9206
May-2018,9515
Jun-2018,9797
Jul-2018,9640
Aug-2018,9778
Sep-2018,9153
Oct-2018,9294
Nov-2018,9290
Dec-2018,9179
Jan-2019,8778
Feb-2019,9072
Mar-2019,9184
Apr-2019,9411
May-2019,9497
Jun-2019,9703
Jul-2019,9533
Aug-2019,9834
Sep-2019,9198
Oct-2019,9308
Nov-2019,9209
Dec-2019,8971
Jan-2020,8724
Feb-2020,9050
Mar-2020,7779
Apr-2020,5866
May-2020,7198
Jun-2020,8292
Jul-2020,8460
Aug-2020,8524
Sep-2020,8541
Oct-2020,8316
Nov-2020,8001
Dec-2020,7855
Jan-2021,7723
Feb-2021,7824
Mar-2021,8553
Apr-2021,8839
May-2021,9081
Jun-2021,9362
Jul-2021,9297
Aug-2021,9182
Sep-2021,8932
Oct-2021,9027
Nov-2021,9021
Dec-2021,8879
Jan-2022,8062
Feb-2022,8650
Mar-2022,9005
Apr-2022,8799
May-2022,9119
Jun-2022,9075
Jul-2022,8812
Aug-2022,9115
Sep-2022,8847
Oct-2022,8807
Nov-2022,8827
Dec-2022,8596
Jan-2023,8282
Feb-2023,8715
Mar-2023,9007
Apr-2023,8996
May-2023,9105
Jun-2023,9279
Jul-2023,9013
Aug-2023,9299
Sep-2023,8832
Oct-2023,9094
Nov-2023,8845
Dec-2023,8840
Jan-2024,8238
Feb-2024,8601
,
